"taxon","lfc_(Intercept)","lfc_SampleTypeVaginal swab","se_(Intercept)","se_SampleTypeVaginal swab","W_(Intercept)","W_SampleTypeVaginal swab","p_(Intercept)","p_SampleTypeVaginal swab","q_(Intercept)","q_SampleTypeVaginal swab","diff_(Intercept)","diff_SampleTypeVaginal swab","passed_ss_(Intercept)","passed_ss_SampleTypeVaginal swab","diff_robust_(Intercept)","diff_robust_SampleTypeVaginal swab"
"ASV1",0.0261509399912509,1.50205410548199,0.577863525893283,0.608995809009097,0.0452545260592901,2.46644407607007,0.964127959388608,0.0191885694722888,1,0.0750098624825835,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"ASV2",-0.109584294728791,1.79578572411584,0.546710372039808,0.567611318964768,-0.200443050531354,3.16375953776092,0.842171878922123,0.00345164608052789,1,0.0234312907308035,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE
"ASV3",-0.636141704759388,2.22980646408091,0.530714464463414,0.627113699257329,-1.19865152988164,3.55566537092332,0.237949151756135,0.0024881001713365,0.53161466898637,0.0213976614734939,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE
"ASV5",-0.370088488681483,1.01228596608719,0.917988207632776,0.754950598316354,-0.403151680603647,1.34086385035621,0.694042694505631,0.277519583227657,1,0.458974695338048,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"ASV6",0.092207658948568,0.957864111454187,0.69065297411558,0.928714802773631,0.133507944516774,1.03138671699159,0.894755334986584,0.316535989225489,1,0.504112871729483,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"ASV7",-0.0845661979284474,0.658356515030184,1.02914478790169,0.475046930340526,-0.0821713318889449,1.38587679023261,0.935982679203005,0.396483504607719,1,0.536371958918302,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"ASV8",0.0743619188670212,1.030102011203,0.642965556031146,0.684447262205514,0.115654591711005,1.5050129762864,0.908649927009913,0.155906080916546,1,0.349629664719535,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"ASV9",1.63894440292327,-2.99459983183677,0.264993703082437,0.536776584817722,6.18484282403272,-5.57885704506591,1.12873926154993e-07,9.80238973953671e-07,4.85357882466469e-06,4.21502758800078e-05,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"ASV13",1.00522572111916,-2.10664539565133,0.313170290226101,0.609016938856351,3.20983743506899,-3.45909162987702,0.00259403068689712,0.00225622987056207,0.0223086639073152,0.0213976614734939,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"ASV15",0.853736587263933,-1.95988535824395,0.354171456391757,0.681057977842486,2.41051776436664,-2.87770707047973,0.021156172760775,0.010802239068901,0.0925522121432131,0.0516106977736382,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"ASV16",1.01255080777916,-2.0931010856292,0.253774330457292,0.537826903448359,3.98996543879982,-3.89177460667914,0.000252754075765789,0.000341236824992525,0.00543421262896447,0.00733659173733928,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"ASV17",-0.783571990939116,2.11962101429436,0.593323128610912,0.888118878447751,-1.32064966483544,2.38664109696555,0.206490693675671,0.0520006949153152,0.53161466898637,0.13975186758491,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"ASV23",-0.351342602096369,0.999868683928827,0.639801414593279,0.487527182549996,-0.549143209256136,2.05089832878455,0.591847369753301,0.132425493927321,0.950295273944132,0.316349791048599,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"ASV24",0.477741088520394,-0.253372180958677,0.903772748802574,1.08728602238663,0.528607538956405,-0.233031765093895,0.609335136718369,0.823952093873675,0.950295273944132,0.908460000937642,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"ASV25",0.922707674503814,-1.46056116481495,0.270185259629939,0.548765576624438,3.41509257672905,-2.66153932941484,0.00136199365183938,0.0127542881245937,0.0195219090096978,0.0548434389357531,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"ASV27",0.460571839860665,-1.65162024375074,0.49334750406692,1.2719536845229,0.933564751141807,-1.29849086790471,0.357743494193725,0.203695727979199,0.642811447514797,0.375312632917563,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"ASV28",-0.00821866472665334,0.917117511615624,0.91703254561989,1.09388442737307,-0.00896223887135624,0.838404395076772,0.992991757236519,0.424533249367945,1,0.536371958918302,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"ASV30",2.13627040868674,-1.53296951265483,0.806528517705448,1.07176871152293,2.64872271939543,-1.43031747071302,0.0168853917117799,0.170749371142098,0.0907589804508172,0.349629664719535,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"ASV31",0.908831276533817,-2.06567716712382,0.335016640137389,0.70469477076645,2.71279443361712,-2.93130764242385,0.0102779676437163,0.0071889540075757,0.0631360869542571,0.0386406277907194,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
"ASV34",0.871735625490654,-2.15905581129926,0.269013597144563,0.574198705015034,3.24048908584423,-3.76011961093283,0.00233726221646049,0.000519121549496526,0.0223086639073152,0.00744074220945021,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"ASV37",0.725330725718094,0.367991214982919,0.74236194639955,0.900986845706698,0.977058063436498,0.408431284803366,0.346019533441683,0.696669231448418,0.642811447514797,0.809642620331945,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"ASV39",0.623533665631004,-1.7792323784675,0.260067746606236,0.577281337429939,2.39758168311076,-3.08208885876799,0.0215237702658635,0.00381439616547965,0.0925522121432131,0.0234312907308035,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
"ASV44",0.278172310993509,-1.71127804877634,0.307654049752626,0.730443658680562,0.904172433995839,-2.34279266913962,0.373727585764417,0.0369942411840326,0.642811447514797,0.113625169350957,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"ASV52",0.128960411395298,0.70963699749682,0.670523994780787,0.83243497729965,0.19232780989062,0.852483397320501,0.850762807835954,0.436581827026525,1,0.536371958918302,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"ASV53",0.780266563923503,-1.78265816327169,0.32545611591837,0.693193351140334,2.39745552705855,-2.57166079325362,0.024677990649128,0.0214226377553246,0.0964685089011368,0.0767644519565799,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"ASV64",0.020828828849137,1.34634620470962,0.384084629802158,0.655260011376973,0.054229790085237,2.05467475709434,0.956973500166646,0.0498817645485045,1,0.13975186758491,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"ASV70",-0.122959225121609,1.16936582859124,0.838370399822345,1.20334546627622,-0.14666455918251,0.971762358659864,0.886630814950812,0.369120306397428,1,0.529072439169647,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"ASV89",0.381398360006362,-1.01155877755955,0.328731861449247,0.78006772437275,1.16021111651584,-1.29675763520782,0.259625768574739,0.209476818372593,0.53161466898637,0.375312632917563,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"ASV93",NA,NA,NA,NA,NA,NA,1,1,1,1,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"ASV101",1.09605085950283,-0.46754064798216,0.345253098509541,0.531237941451414,3.17463004455132,-0.880096490670029,0.00539343597793921,0.412853103556385,0.0386529578418977,0.536371958918302,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"ASV113",-0.203287127743399,2.03305526832309,0.578090725930424,0.784460781000591,-0.351652636212444,2.59165954189564,0.729569341387829,0.0338185147084293,1,0.111861240958651,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"ASV115",1.21854418715079,-1.08299748806599,0.539274191297637,0.699496767534217,2.25960041629037,-1.54825231270709,0.0453256330070578,0.1992849008139,0.162416851608624,0.375312632917563,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"ASV139",0.0746918551415558,0.170669399362058,0.326497234256813,0.593967950288653,0.228767190973524,0.287337724668674,0.82325320606735,0.780748089286109,1,0.883478101034281,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"ASV158",0.915559928817707,-0.961777028056866,0.691067948870228,0.894634845201411,1.32484791157582,-1.07504981861101,0.218655811369731,0.331370430367352,0.53161466898637,0.508890303778434,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"ASV161",0.444834904836436,-1.08729474141997,0.370592520655124,0.588438401143057,1.20033427563532,-1.84776306119362,0.252551107889772,0.170048643340973,0.53161466898637,0.349629664719535,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"ASV163",0.179691157722173,0.418225553259262,0.565220754508648,0.832035362218493,0.317913233526571,0.502653579703786,0.757092433079657,0.641092331789679,1,0.765749174082117,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"ASV185",0.164243866824903,0.777635501103111,0.326298474141837,0.646965724161194,0.503354688546625,1.2019732608112,0.618796922568272,0.239810438663648,0.950295273944132,0.412473954501475,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
"ASV196",0.708217351655491,-0.134970826875667,0.73514477953323,1.05107575935144,0.963371258794987,-0.128412082264127,0.367579627816165,0.902698961514338,0.642811447514797,0.924191793931346,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"ASV206",1.23343936448182,-1.11643881521382,0.77906324140742,1.16097432148459,1.58323393907476,-0.961639542368321,0.157384447366209,0.368263719389983,0.451168749116466,0.529072439169647,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"ASV208",-0.17382668281828,0.860571606478618,0.687187493270723,1.04837679887979,-0.252953792844712,0.82086097994362,0.805986889401357,0.432929364899901,1,0.536371958918302,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"ASV214",-0.709516738895653,1.65196462141378,0.572211662349788,0.8388932380151,-1.23995504737184,1.9692191408319,0.243299404094513,0.0772445873889758,0.53161466898637,0.195383368101527,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"ASV371",0.727716043455541,0.0956037256425847,0.427210584673755,0.6451642388232,1.70341295268063,0.148185097514036,0.116797047176356,0.888046609707939,0.35873378775595,0.924191793931346,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"ASV626",0.702244243695024,-0.113728497601916,0.390760732154953,0.60126769052223,1.79712081053363,-0.189147861085198,0.101904802747196,0.857086046659679,0.337069732163802,0.921367500159155,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
